
Date:9/2/2010
Time:14:25:44
Output format: Text
Calculations precision: 256

Initial Quadrature
Quadrature Nodes
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	0
Matrix from Quadrature
-0.90909090909090909090909090909091e-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.7871900826446280991735537190083	0.34297732441953415412621561029097	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
